City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ponta Delgada,PT,72.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
2,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
6,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
10,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
13,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
17,La Asuncion,VE,82.09,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
18,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
21,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
22,Palu,ID,74.43,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
27,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
30,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Hilo,US,81.63,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Pachino,IT,87.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
40,Jamestown,US,85.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
42,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
44,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
51,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
53,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
57,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
58,Bhanpuri,IN,78.57,broken clouds,21.1,80.9167,Sadanad verma
59,Makakilo City,US,79.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
61,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
63,Bousso,TD,73.69,light rain,10.4795,16.7117,
66,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
67,Boende,CD,79.41,scattered clouds,-0.2167,20.8667,
71,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
72,Vao,NC,71.42,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
74,Labuhan,ID,73.56,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
84,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
85,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
93,Honiara,SB,76.86,broken clouds,-9.4333,159.95,Heritage Park Hotel
94,Leua,SK,81.5,scattered clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
98,Nautla,MX,86.76,scattered clouds,20.2167,-96.7833,Casa Blanca
100,Labuhan,ID,73.56,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
101,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
102,Albany,US,84.27,broken clouds,42.6001,-73.9662,
103,Mapiripan,CO,73.71,overcast clouds,2.8892,-72.1256,Monserrate
110,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
112,Bien Hoa,VN,78.78,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
115,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
118,Karangampel,ID,75.97,clear sky,-6.4622,108.4519,ROOFTOP WAG ALL
123,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
126,Los Llanos De Aridane,ES,75.13,few clouds,28.6585,-17.9182,Valle Aridane
127,Jamestown,US,85.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
129,Padang,ID,77.05,clear sky,-0.9492,100.3543,Mercure Padang
134,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
138,Albany,US,84.27,broken clouds,42.6001,-73.9662,
139,Clarin,PH,78.4,overcast clouds,8.2023,123.8582,Sheila marie fernandez sabella
143,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
148,Klyuchi,RU,72.9,broken clouds,52.2667,79.1667,Vesolaya Mayovka
149,Dicabisagan,PH,80.83,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
152,Rurrenabaque,BO,89.49,scattered clouds,-14.4413,-67.5278,Casa de Campo
155,Kissidougou,GN,72.01,overcast clouds,9.1848,-10.0999,Hôtel Mantis
156,Cortez,US,81.68,few clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
160,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
166,Mbini,GQ,78.64,overcast clouds,1.574,9.6134,
170,Jamestown,US,85.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
171,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
172,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
173,Chlorakas,CY,81.48,clear sky,34.8042,32.4083,Elysium Hotel
174,Hilo,US,81.63,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
176,Ponta Delgada,PT,72.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
177,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
178,Tateyama,JP,81.01,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
180,Butaritari,KI,81.48,moderate rain,3.0707,172.7902,Isles Sunset Lodge
181,Rosetta,EG,78.62,clear sky,31.4044,30.4164,Green Valley
185,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
186,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
187,Hilo,US,81.63,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
188,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
194,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
197,Sao Filipe,CV,74.32,overcast clouds,14.8961,-24.4956,Hotel Xaguate
199,Abnub,EG,89.82,clear sky,27.2696,31.1511,Romany Adly Gad
204,Caravelas,BR,72.21,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
205,Goya,AR,82.29,clear sky,-29.14,-59.2626,Apart Costanera
207,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
209,Kathmandu,NP,70.02,moderate rain,27.7167,85.3167,Hotel Shanker Kathmandu
216,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
219,Mineiros,BR,85.77,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
220,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
231,Nouna,BF,86.49,overcast clouds,12.7333,-3.8667,Sabunyuma So
234,Qandala,SO,87.6,few clouds,11.472,49.8728,
238,Boende,CD,79.41,scattered clouds,-0.2167,20.8667,
239,Mogadishu,SO,76.12,light rain,2.0371,45.3438,Hotel Juba
243,Jamestown,US,85.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
245,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
247,Axim,GH,76.1,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
249,Atuona,PF,78.06,broken clouds,-9.8,-139.0333,Villa Enata
254,Ewa Beach,US,81.09,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
256,Faanui,PF,78.04,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
259,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
262,Bengkulu,ID,74.89,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
264,Lagoa,PT,70.07,overcast clouds,39.05,-27.9833,Casa Das Faias
266,Kokopo,PG,77.27,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
268,Atuona,PF,78.06,broken clouds,-9.8,-139.0333,Villa Enata
271,Alberton,CA,77.13,clear sky,46.8168,-64.0654,La Petite France B&B
272,Palmer,US,73.99,overcast clouds,42.1584,-72.3287,Wedgewood Motel
275,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Hotel Central
277,Puerto Madero,MX,85.35,broken clouds,14.7208,-92.4215,Hotel La Central
278,Albany,US,84.27,broken clouds,42.6001,-73.9662,
280,Bull Savanna,JM,81.14,broken clouds,17.8868,-77.5902,Big Red's
281,Lorengau,PG,78.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
282,Grafing,DE,70.32,overcast clouds,48.0503,11.9661,Hotel Hölzer Bräu
286,San Benedetto Del Tronto,IT,86.92,overcast clouds,42.9456,13.8816,Hotel La Palazzina
291,Teahupoo,PF,73.36,clear sky,-17.8333,-149.2667,Vanira Lodge
295,Cedar City,US,82.18,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
296,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
300,Gorontalo,ID,74.57,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
301,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
302,Kloulklubed,PW,84.16,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
303,Salalah,OM,77.5,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
305,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
306,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
