City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Ponta Delgada,37.7333,-25.6667,72.32,83,40,12.66,PT,2021-07-25 18:56:05,scattered clouds
1,Busselton,-33.65,115.3333,58.08,66,5,20.22,AU,2021-07-25 18:57:34,clear sky
2,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
3,Coihaique,-45.5752,-72.0662,45.21,53,75,5.75,CL,2021-07-25 18:57:35,broken clouds
4,East London,-33.0153,27.9116,56.34,76,0,5.75,ZA,2021-07-25 18:57:35,clear sky
5,Leningradskiy,69.3833,178.4167,37.6,90,100,4.61,RU,2021-07-25 18:52:45,overcast clouds
6,Bathsheba,13.2167,-59.5167,88.41,70,75,17.27,BB,2021-07-25 18:54:29,broken clouds
7,Dzhebariki-Khaya,62.2167,135.8,55.47,95,66,3.27,RU,2021-07-25 18:57:36,broken clouds
8,Clearwater,27.9659,-82.8001,95.25,56,75,8.99,US,2021-07-25 18:53:06,broken clouds
9,Waipawa,-41.4122,175.5153,53.02,77,100,12.57,NZ,2021-07-25 18:54:58,moderate rain
10,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
11,Nikolskoye,59.7035,30.7861,69.69,67,7,2.46,RU,2021-07-25 18:54:25,clear sky
12,Wum,6.3833,10.0667,64.6,92,100,1.43,CM,2021-07-25 18:57:37,overcast clouds
13,Ponta Do Sol,32.6667,-17.1,76.71,78,1,4.38,PT,2021-07-25 18:54:09,clear sky
14,Opuwo,-18.0607,13.84,64.6,29,1,7.76,NA,2021-07-25 18:57:37,clear sky
15,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
16,Mar Del Plata,-38.0023,-57.5575,56.08,60,90,7.0,AR,2021-07-25 18:54:56,overcast clouds
17,La Asuncion,11.0333,-63.8628,82.09,73,100,9.93,VE,2021-07-25 18:57:38,overcast clouds
18,Vila Franca Do Campo,37.7167,-25.4333,72.01,80,43,8.01,PT,2021-07-25 18:57:38,scattered clouds
19,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
20,Luderitz,-26.6481,15.1594,67.17,25,100,4.7,NA,2021-07-25 18:55:37,overcast clouds
21,Hasaki,35.7333,140.8333,75.6,79,8,15.21,JP,2021-07-25 18:52:52,clear sky
22,Palu,-0.8917,119.8707,74.43,94,48,3.13,ID,2021-07-25 18:57:39,scattered clouds
23,Ukiah,39.1502,-123.2078,100.04,32,1,3.44,US,2021-07-25 18:55:17,clear sky
24,Hobart,-42.8794,147.3294,44.46,72,40,3.0,AU,2021-07-25 18:54:38,scattered clouds
25,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
26,Ulaangom,49.9811,92.0667,66.07,61,100,0.96,MN,2021-07-25 18:57:40,overcast clouds
27,Puerto Ayora,-0.7393,-90.3518,80.56,84,37,8.99,EC,2021-07-25 18:54:38,scattered clouds
28,Belmonte,-15.8631,-38.8828,75.7,75,77,10.92,BR,2021-07-25 18:57:41,broken clouds
29,Pangody,65.85,74.4859,49.48,82,100,11.5,RU,2021-07-25 18:57:41,overcast clouds
30,Kapaa,22.0752,-159.319,82.38,81,75,4.0,US,2021-07-25 18:56:53,light rain
31,Hilo,19.7297,-155.09,81.63,91,59,1.99,US,2021-07-25 18:57:35,broken clouds
32,Kajaani,64.2273,27.7285,68.05,60,0,6.91,FI,2021-07-25 18:57:42,clear sky
33,Pachino,36.7186,15.0907,87.6,56,0,10.22,IT,2021-07-25 18:57:42,clear sky
34,Bredasdorp,-34.5322,20.0403,47.52,93,100,4.61,ZA,2021-07-25 18:53:12,overcast clouds
35,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
36,Yellowknife,62.456,-114.3525,65.32,51,20,1.99,CA,2021-07-25 18:53:54,few clouds
37,Ulladulla,-35.35,150.4667,55.09,64,7,12.37,AU,2021-07-25 18:57:43,clear sky
38,Tairua,-37.0167,175.85,59.09,94,100,21.27,NZ,2021-07-25 18:57:43,moderate rain
39,Cape Town,-33.9258,18.4232,62.11,54,0,1.14,ZA,2021-07-25 18:57:02,clear sky
40,Jamestown,42.097,-79.2353,85.08,65,0,9.19,US,2021-07-25 18:57:44,clear sky
41,Vaini,-21.2,-175.2,66.36,100,20,0.0,TO,2021-07-25 18:54:43,fog
42,Georgetown,5.4112,100.3354,83.89,86,20,0.0,MY,2021-07-25 18:54:23,few clouds
43,Fourmies,50.0153,4.0478,69.71,93,97,7.76,FR,2021-07-25 18:53:41,overcast clouds
44,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
45,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
46,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
47,Kodiak,57.79,-152.4072,53.11,82,90,5.75,US,2021-07-25 18:54:15,haze
48,Asosa,10.0667,34.5333,59.29,98,100,2.77,ET,2021-07-25 18:57:45,overcast clouds
49,Torbay,47.6666,-52.7314,62.76,88,75,8.05,CA,2021-07-25 18:57:45,broken clouds
50,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
51,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
52,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
53,Ponta Do Sol,32.6667,-17.1,76.71,78,1,4.38,PT,2021-07-25 18:54:09,clear sky
54,Fortuna,40.5982,-124.1573,61.72,85,1,10.36,US,2021-07-25 18:54:56,clear sky
55,Port Alfred,-33.5906,26.891,61.18,45,66,11.88,ZA,2021-07-25 18:57:46,broken clouds
56,Hermanus,-34.4187,19.2345,61.9,54,100,9.86,ZA,2021-07-25 18:57:47,overcast clouds
57,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
58,Bhanpuri,21.1,80.9167,78.57,81,59,10.27,IN,2021-07-25 18:57:47,broken clouds
59,Makakilo City,21.3469,-158.0858,79.68,83,90,0.0,US,2021-07-25 18:56:16,overcast clouds
60,Mar Del Plata,-38.0023,-57.5575,56.08,60,90,7.0,AR,2021-07-25 18:54:56,overcast clouds
61,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
62,Sobolevo,54.4299,31.8996,64.92,65,59,5.39,RU,2021-07-25 18:57:48,broken clouds
63,Bousso,10.4795,16.7117,73.69,92,100,5.3,TD,2021-07-25 18:57:48,light rain
64,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
65,Kumeny,58.1089,49.9161,54.59,64,87,6.13,RU,2021-07-25 18:57:49,light rain
66,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
67,Boende,-0.2167,20.8667,79.41,53,45,3.18,CD,2021-07-25 18:57:49,scattered clouds
68,Kaitangata,-46.2817,169.8464,49.93,59,100,3.83,NZ,2021-07-25 18:56:09,moderate rain
69,Qaanaaq,77.484,-69.3632,40.48,70,89,5.79,GL,2021-07-25 18:53:30,overcast clouds
70,Saint George,37.1041,-113.5841,94.62,39,5,1.99,US,2021-07-25 18:57:50,clear sky
71,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
72,Vao,-22.6667,167.4833,71.42,72,57,16.31,NC,2021-07-25 18:55:35,broken clouds
73,Grootfontein,-19.5667,18.1167,54.97,47,0,3.44,NA,2021-07-25 18:57:51,clear sky
74,Labuhan,-6.8844,112.2051,73.56,81,53,5.84,ID,2021-07-25 18:57:51,broken clouds
75,Beni,0.5,29.4667,66.63,76,100,1.77,CD,2021-07-25 18:57:51,overcast clouds
76,Port Alfred,-33.5906,26.891,61.18,45,66,11.88,ZA,2021-07-25 18:57:46,broken clouds
77,Kenai,60.5544,-151.2583,66.02,83,98,8.63,US,2021-07-25 18:57:52,overcast clouds
78,Cape Town,-33.9258,18.4232,62.11,54,0,1.14,ZA,2021-07-25 18:57:02,clear sky
79,Yellowknife,62.456,-114.3525,65.32,51,20,1.99,CA,2021-07-25 18:53:54,few clouds
80,Hobart,-42.8794,147.3294,44.46,72,40,3.0,AU,2021-07-25 18:54:38,scattered clouds
81,Kaitangata,-46.2817,169.8464,49.93,59,100,3.83,NZ,2021-07-25 18:56:09,moderate rain
82,Chapais,49.7834,-74.8492,64.18,46,83,10.98,CA,2021-07-25 18:57:53,broken clouds
83,Pevek,69.7008,170.3133,34.74,91,100,8.23,RU,2021-07-25 18:57:12,overcast clouds
84,Victoria,22.2855,114.1577,86.38,85,19,1.01,HK,2021-07-25 18:57:54,few clouds
85,Puerto Ayora,-0.7393,-90.3518,80.56,84,37,8.99,EC,2021-07-25 18:54:38,scattered clouds
86,San Patricio,28.017,-97.5169,94.01,41,0,12.5,US,2021-07-25 18:55:43,clear sky
87,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
88,Bluff,-46.6,168.3333,47.8,87,100,6.17,NZ,2021-07-25 18:57:54,moderate rain
89,Rawson,-43.3002,-65.1023,51.91,36,5,21.43,AR,2021-07-25 18:57:55,clear sky
90,Nioaque,-21.1353,-55.83,93.45,22,0,9.84,BR,2021-07-25 18:57:55,clear sky
91,Hermanus,-34.4187,19.2345,61.9,54,100,9.86,ZA,2021-07-25 18:57:47,overcast clouds
92,Avarua,-21.2078,-159.775,71.65,100,75,3.44,CK,2021-07-25 18:55:01,light rain
93,Honiara,-9.4333,159.95,76.86,89,64,5.28,SB,2021-07-25 18:54:46,broken clouds
94,Leua,48.2156,18.6071,81.5,84,44,9.82,SK,2021-07-25 18:57:56,scattered clouds
95,Faya,18.3851,42.4509,68.11,75,100,4.23,SA,2021-07-25 18:56:10,overcast clouds
96,Port Alfred,-33.5906,26.891,61.18,45,66,11.88,ZA,2021-07-25 18:57:46,broken clouds
97,Airai,-8.9266,125.4092,55.89,53,76,3.2,TL,2021-07-25 18:53:26,broken clouds
